Nº ocorrência;Data;Aeronave;Classificação;Tipo;Subtipo;Localidade;UF;Segmento;Status;Link
80446;20/12/2021;PTKSG;ACIDENTE;CFIT;VOO CONTROLADO CONTRA O TERRENO;JACAREACANGA;PA;TÁXI AÉREO;FINALIZADA;SAIBA MAIS
80176;12/07/2021;PPFJZ;ACIDENTE;GTOW;REBOQUE DE PLANADOR;BEBEDOURO;SP;INSTRUÇÃO;FINALIZADA;SAIBA MAIS
80176;12/07/2021;PPFJZ;ACIDENTE;LOC-I;PERDA DE CONTROLE EM VOO;BEBEDOURO;SP;INSTRUÇÃO;FINALIZADA;SAIBA MAIS
80176;12/07/2021;PPGAP;ACIDENTE;GTOW;REBOQUE DE PLANADOR;BEBEDOURO;SP;INSTRUÇÃO;FINALIZADA;SAIBA MAIS
80176;12/07/2021;PPGAP;ACIDENTE;LOC-I;PERDA DE CONTROLE EM VOO;BEBEDOURO;SP;INSTRUÇÃO;FINALIZADA;SAIBA MAIS
80156;03/07/2021;PPGSV;ACIDENTE;LOC-G;PERDA DE CONTROLE NO SOLO;CAMPINAS;SP;INSTRUÇÃO;FINALIZADA;SAIBA MAIS
80156;03/07/2021;PPGSV;ACIDENTE;RE;EXCURSÃO DE PISTA;CAMPINAS;SP;INSTRUÇÃO;FINALIZADA;SAIBA MAIS
79989;22/03/2021;PTJGA;INCIDENTE GRAVE;SCF-NP;COM TREM DE POUSO;JI-PARANÁ;RO;PARTICULAR;FINALIZADA;SAIBA MAIS
79983;20/03/2021;PPGKM;ACIDENTE;RE;EXCURSÃO DE PISTA;SANTO ÂNGELO;RS;INSTRUÇÃO;FINALIZADA;SAIBA MAIS
79973;14/03/2021;PTPKA;ACIDENTE;GTOW;REBOQUE DE PLANADOR;ERECHIM;RS;INSTRUÇÃO;FINALIZADA;SAIBA MAIS
79961;09/03/2021;PREJR;ACIDENTE;ARC;POUSO BRUSCO;AMERICANA;SP;INSTRUÇÃO;FINALIZADA;SAIBA MAIS
79947;02/03/2021;PTOIW;ACIDENTE;LOC-I;PERDA DE CONTROLE EM VOO;ARARAS;SP;PARTICULAR;FINALIZADA;SAIBA MAIS
79947;02/03/2021;PTOIW;ACIDENTE;RE;EXCURSÃO DE PISTA;ARARAS;SP;PARTICULAR;FINALIZADA;SAIBA MAIS
79924;28/02/2021;PRAAD;INCIDENTE GRAVE;ARC;POUSO SEM TREM;AMERICANA;SP;ESPECIALIZADA;FINALIZADA;SAIBA MAIS
79909;23/02/2021;PTWIY;ACIDENTE;CTOL;COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO;MIRASSOL D'OESTE;MT;PARTICULAR;FINALIZADA;SAIBA MAIS
79824;28/12/2020;PRALA;ACIDENTE;LOC-I;PERDA DE CONTROLE EM VOO;RIO PARANAÍBA;MG;AGRÍCOLA;FINALIZADA;SAIBA MAIS
79748;23/12/2020;PRDBO;ACIDENTE;RE;EXCURSÃO DE PISTA;SANTANA DO LIVRAMENTO;RS;AGRÍCOLA;FINALIZADA;SAIBA MAIS
79692;28/11/2020;PPHRH;ACIDENTE;RE;POUSO LONGO;CATANDUVA;SP;INSTRUÇÃO;FINALIZADA;SAIBA MAIS
79651;30/10/2020;PTZNQ;ACIDENTE;LOC-G;PERDA DE CONTROLE NO SOLO;BRASÍLIA;DF;EXPERIMENTAL;FINALIZADA;SAIBA MAIS
79651;30/10/2020;PTZNQ;ACIDENTE;RE;EXCURSÃO DE PISTA;BRASÍLIA;DF;EXPERIMENTAL;FINALIZADA;SAIBA MAIS
79651;30/10/2020;PTZNQ;ACIDENTE;SCF-NP;COM TREM DE POUSO;BRASÍLIA;DF;EXPERIMENTAL;FINALIZADA;SAIBA MAIS
79559;19/09/2020;PRZBG;ACIDENTE;RE;POUSO LONGO;BRUSQUE;SC;PARTICULAR;FINALIZADA;SAIBA MAIS
79536;08/09/2020;PTRXI;ACIDENTE;GCOL;COLISÃO COM OBSTÁCULOS NO SOLO;SANTA ROSA;RS;PARTICULAR;FINALIZADA;SAIBA MAIS
79520;03/09/2020;PTKJU;ACIDENTE;OTHR;COM TRANSPORTE DE CARGA;CAMPO GRANDE;MS;PARTICULAR;FINALIZADA;SAIBA MAIS
79505;26/08/2020;PPGMC;ACIDENTE;ARC;CONTATO ANORMAL COM A PISTAA;GUARATINGUETÁ;SP;INSTRUÇÃO;FINALIZADA;SAIBA MAIS
79505;26/08/2020;PPGMC;ACIDENTE;RE;EXCURSÃO DE PISTA;GUARATINGUETÁ;SP;INSTRUÇÃO;FINALIZADA;SAIBA MAIS
