Data;Abertura;Máxima;Mínima;Fechado;Média;Variação;Volume;Quantidade de Ações;Negócios
16/08/2022;43;43,49;42,43;43,2;42,99;0,48%;905937728;21073700;38041
15/08/2022;43,69;43,76;42,82;42,99;43,14;-2,51%;834387904;19340300;43935
12/08/2022;42,03;44,33;42;44,1;43,42;5,65%;1956124672;45053500;68221
11/08/2022;42,15;42,38;41,56;41,74;41,91;4,42%;2597914368;61983300;75796
10/08/2022;39,92;40,16;39,65;39,97;39,89;0,85%;559905664;14035600;37007
09/08/2022;39,1;39,94;38,83;39,63;39,4;1,66%;678911680;17229600;38689
08/08/2022;37,95;39,1;37,76;38,98;38,78;3,14%;752242432;19395300;42117
05/08/2022;37,1;37,83;36,95;37,79;37,55;1,85%;406796192;10833100;31002
04/08/2022;36,69;37,12;36,5;37,1;36,98;1,89%;428182304;11579000;28258
03/08/2022;36,23;36,58;35,88;36,41;36,33;0,69%;270935392;7457200;18722
02/08/2022;35,7;36,45;35,51;36,16;36,12;1,34%;354038240;9801300;26362
01/08/2022;35,98;36,22;35,52;35,68;35,77;-0,80%;403841088;11288900;30203
29/07/2022;36,17;36,59;35,9;35,97;36,17;-0,66%;426453824;11789500;24661
28/07/2022;35,65;36,32;35,44;36,21;36;1,85%;291138944;8086600;33770
27/07/2022;35,41;35,64;35,13;35,55;35,43;0,65%;253866064;7165300;18389
26/07/2022;35,36;35,79;35,13;35,32;35,47;0,34%;391425696;11035100;29311
25/07/2022;34,55;35,31;34,55;35,2;35,14;1,52%;426883104;12148000;48285
22/07/2022;34,92;35,15;34,41;34,67;34,69;-0,68%;229116064;6603200;22637
21/07/2022;34,62;34,91;34,07;34,91;34,63;0,69%;301813216;8713800;23503
20/07/2022;34,54;35,03;34,39;34,67;34,7;0,02%;331262432;9544700;27508
19/07/2022;33,88;34,7;33,79;34,66;34,31;2,69%;524501056;15287800;49875
18/07/2022;33,5;34,07;33,35;33,75;33,81;1,41%;367250656;10859000;29637
15/07/2022;32,6;33,61;32,22;33,28;33,15;2,05%;403352864;12164100;30999
14/07/2022;32,5;32,69;31,92;32,61;32,31;-0,12%;395992800;12255500;36214
13/07/2022;32,8;33,09;32,51;32,65;32,74;-1,09%;412798080;12606400;22490
12/07/2022;32,99;33,12;32,44;33,01;32,92;0,33%;242093392;7352900;18426
11/07/2022;33,13;33,31;32,75;32,9;33;-1,64%;232049168;7029900;22539
08/07/2022;33,17;33,64;33,06;33,45;33,41;0,96%;300182784;8982700;22413
07/07/2022;32,95;33,39;32,95;33,13;33,15;1,47%;321178784;9687800;29143
06/07/2022;32,68;33,08;32,2;32,65;32,59;-0,63%;351812192;10794600;26376
05/07/2022;32,87;33,02;32,34;32,86;32,65;-0,54%;282365408;8645800;23605
04/07/2022;33,11;33,23;32,8;33,04;33,03;-0,33%;169752672;5139200;14933
01/07/2022;33,05;33,34;32,8;33,15;33,04;-0,68%;275857792;8347800;26395
30/06/2022;32,65;33,58;32,24;33,38;33,14;0,90%;610830336;18430600;34717
29/06/2022;33,23;33,58;32,92;33,08;33,1;-0,51%;267779328;8088300;25422
28/06/2022;33,4;33,91;32,88;33,25;33,39;0,36%;401853888;12034100;24874
27/06/2022;32,46;33,19;32,37;33,13;32,98;2,06%;310429536;9410700;30938
24/06/2022;32,87;32,98;32,1;32,46;32,39;-0,58%;294267712;9083200;26782
23/06/2022;32,91;32,95;32,24;32,65;32,5;-0,63%;501977632;15443600;36322
22/06/2022;32,8;33,37;32,45;32,86;32,87;-0,36%;808429888;24590200;54950
21/06/2022;34,7;34,84;32,8;32,98;33,28;-4,10%;852530624;25611500;50443
20/06/2022;34,21;34,93;33,57;34,39;34,44;0,76%;489011488;14197500;33949
17/06/2022;33,75;34,36;33,21;34,13;33,68;0,23%;983935040;29207400;36703
15/06/2022;33,84;34,49;33,67;34,05;34,09;1,58%;466199360;13675200;35953
14/06/2022;33,67;34,03;33,34;33,52;33,65;-0,08%;436415680;12966300;34405
13/06/2022;34,11;34,44;33,5;33,76;33,73;-2,28%;484124960;14351900;35925
10/06/2022;34,89;35,37;34,27;34,55;34,53;-1,67%;1166032384;33759400;41023
09/06/2022;35,05;35,59;34,92;35,14;35,33;-0,14%;385959296;10922100;28044
08/06/2022;35,24;35,51;34,93;35,19;35,2;-0,90%;280827040;7977100;28994
07/06/2022;35,6;35,86;35,36;35,51;35,51;-0,69%;264843072;7456600;24495
06/06/2022;36,26;36,58;35,7;35,76;35,91;-1,24%;297885312;8293700;21628
03/06/2022;36,61;36,62;35,97;36,21;36,2;-1,38%;320545344;8852800;25994
02/06/2022;36,91;37,09;36,45;36,72;36,71;0,08%;349967808;9533100;28919
01/06/2022;37;37;36,05;36,69;36,47;0,19%;484361696;13281600;31706
31/05/2022;36,14;37,15;36;36,62;36,67;1,52%;1234701312;33669800;37846
31/05/2022;36,14;37,15;36;36,62;36,67;1,52%;1234701312;33669800;37846
30/05/2022;37,2;37,2;35,25;36,07;35,87;-2,64%;918543872;25607700;60648
27/05/2022;37,36;37,36;36,73;37,05;37,02;-1,09%;494749792;13362600;35297
26/05/2022;37,41;38,07;37,33;37,46;37,61;-0,29%;477751200;12700700;30925
25/05/2022;37,53;37,8;36,8;37,57;37,18;-0,60%;643423616;17302900;45927
24/05/2022;37,6;38,04;37,03;37,8;37,56;-0,43%;896642624;23869100;57341
